t,vds,corrente
3.4,0.0825883,0.0409456
3.42,0.0656726,0.0325591
3.44,0.0696528,0.0340391
3.46,0.049752,0.0251593
3.48,0.0537322,0.026146
3.5,0.0338314,0.0162796
3.52,0.0368165,0.0177595
3.54,0.0139306,0.00690648
3.56,0.0179107,0.00789312
3.58,-0.0049752,-0.00197328
3.6,-0.00099504,-0.00098664
3.62,-0.0189058,-0.0103597
3.64,-0.0169157,-0.00937308
3.66,-0.0338314,-0.0172662
3.68,-0.0298512,-0.0157862
3.7,-0.0447768,-0.0221994
3.72,-0.0398016,-0.0207194
3.74,-0.048757,-0.0251593
3.76,-0.0447768,-0.023186
3.78,-0.0537322,-0.026146
3.8,-0.0517421,-0.026146
3.82,-0.0437818,-0.0226927
3.84,-0.0467669,-0.0241727
3.86,-0.0368165,-0.0192395
3.88,-0.0398016,-0.0202261
3.9,-0.023881,-0.0133196
3.92,-0.0278611,-0.0143063
3.94,-0.0109454,-0.00591984
3.96,-0.0149256,-0.0073998
3.98,0.00597024,0.0024666
4,0.00398016,0.00098664
4.02,0.024876,0.0118397
4.04,0.0228859,0.0103597
4.06,0.0417917,0.0212128
4.08,0.0398016,0.0202261
4.1,0.0597024,0.0291059
4.12,0.0577123,0.0281192
4.14,0.075623,0.036999
4.16,0.0726379,0.0360124
4.18,0.0865685,0.0429188
4.2,0.0825883,0.0414389
4.22,0.0945288,0.0473587
4.24,0.0915437,0.0458788
4.26,0.101494,0.049332
4.28,0.102489,0.049332
4.3,0.0935338,0.0468654
4.32,0.098509,0.0483454
4.34,0.0875635,0.0443988
4.36,0.0945288,0.0458788
4.38,0.0796032,0.0394656
4.4,0.0825883,0.0409456
4.42,0.0676627,0.0330524
4.44,0.0706478,0.0345324
4.46,0.050747,0.0251593
4.48,0.0537322,0.026146
4.5,0.0338314,0.0162796
4.52,0.0388066,0.0172662
4.54,0.0149256,0.00690648
4.56,0.0169157,0.00789312
4.58,-0.00298512,-0.00197328
4.6,-0.00099504,-0.00098664
4.62,-0.0208958,-0.0103597
4.64,-0.0149256,-0.00887976
4.66,-0.0328363,-0.0167729
4.68,-0.0298512,-0.0152929
4.7,-0.0427867,-0.0221994
4.72,-0.0388066,-0.0207194
4.74,-0.048757,-0.0251593
4.76,-0.0527371,-0.0236794
4.78,-0.0447768,-0.026146
4.8,-0.050747,-0.026146
4.82,-0.0427867,-0.0226927
4.84,-0.0467669,-0.0241727
4.86,-0.0368165,-0.0192395
4.88,-0.0398016,-0.0202261
4.9,-0.024876,-0.0133196
4.92,-0.0278611,-0.0143063
4.94,-0.0109454,-0.00591984
4.96,-0.0159206,-0.00690648
4.98,0.00696528,0.00197328
5,0.00099504,0.00147996
5.02,0.024876,0.0118397
5.04,0.0228859,0.0103597
5.06,0.0447768,0.0207194
5.08,0.0398016,0.0197328
5.1,0.0597024,0.0295992
5.12,0.0577123,0.0286126
5.14,0.074628,0.0374923
5.16,0.0726379,0.035519
5.18,0.0875635,0.0429188
5.2,0.0845784,0.0414389
5.22,0.0955238,0.0468654
5.24,0.0905486,0.0453854
5.26,0.101494,0.0488387
5.28,0.0945288,0.049332
5.3,0.101494,0.0468654
5.32,0.099504,0.0483454
5.34,0.0865685,0.0443988
5.36,0.0925387,0.0458788
