Sub_Vg;Sub_Res;Des_Vg;Des_Res
-0.19050720000000002;-2170215.3945685867;-0.18963396000000002;-1726052.6582665634
-0.17895896;-1631392.9116323495;-0.17843904000000002;8815653.24235436
-0.16736784;-1700692.0268926907;-0.16660016000000002;-2699283653700.8804
-0.15480971999999998;3360574.709767482;-0.15427375999999998;-5229502.636667421
-0.14310156;-1785969.782106371;-0.14247528;-1582656.3933967024
-0.12998004;1194449.4274622933;-0.12929048;-2288590.7928779786
-0.11669192;-703378.1928744182;-0.11607984;-444805.588270161
-0.105139648;-1667567.3476283571;-0.104498096;-1570540.25499511
-0.092703688;2108669.5191771104;-0.092156504;-2176279.4061789084
-0.08187901599999999;-2309093.162166822;-0.081206744;-2100428.503891428
-0.068210272;-2720501.1227055625;-0.067772936;-2403761.1945593758
-0.05638838399999999;-1824755.1916184975;-0.055493244;-3463084.2918083435
-0.04269906399999999;-1803743.7381054193;-0.042206176;-11430815.767551439
-0.030457223999999998;-1879944.0153117285;-0.029829087999999997;-3921964.5270381332
-0.018202956;-1630114.297416898;-0.0175051012;-243545.12517484144
-0.005212462312;8568604.759642148;-0.004665671392000001;-2086781.8325882405
0.00596478512;-3587183.321944686;0.006624255680000001;-1681814.982685216
0.01889322;-1636437.5032339331;0.019598756;-1163564.177270439
0.031393875999999994;-1478301.236298524;0.032122552;-1370077.583671362
0.044032932000000004;-1685993.750529643;0.044714708000000006;-1113284.079445662
0.055878040000000004;-1805691.9329442864;0.056510684;-1409962.1816024848
0.068397184;-1726441.2777255836;0.06904966400000001;-1615193.669611139
0.079863472;-1489674.289971276;0.080645244;-1866915.8162389714
0.092052796;-1594299.1979571707;0.09273953600000001;-1518316.3818640984
0.104393064;-1469807.1265650208;0.10534006;-2094548.9221377743
0.1153102;-1796407.2054989806;0.1161222;-1985096.5487977576
0.12917592;-1467755.0366770208;0.13011335999999998;-1979125.5113368835
0.14125624;-1461043.4057140502;0.14222568;-2169497.162096122
0.15385512;-1669617.3780738602;0.15456396000000003;-1449371.0050178852
0.16548619999999997;-1585125.8784039407;0.16614576;-1346591.9200659567
0.17712968000000004;-1215938.7458047615;0.17796847999999998;-1996499.59902899
0.18934144;-1335467.1411643717;0.19022380000000003;-3205134.343737049
0.20199408;-1535125.4011844506;0.20278555999999998;-1561851.531794426
0.21496344;-1529413.8916130436;0.21613388;-1405437.681102959
0.22731876000000004;-1325990.9047208773;0.227913;-1811979.4982775403
0.24021640000000002;-1633399.7789977526;0.24106088;-1788564.0090357289
0.2519824;-2422386.6141021946;0.25267392;-1953899.3505831072
0.26315452;-1595430.0341394362;0.26419364;-1807751.674302308
0.27567764;-1562999.3264838275;0.27654844;-1567077.1864449352
0.2876718;-1792623.0052390972;0.28876604;-1943920.9436608532
0.30024371999999994;-904322.5644239931;0.30104624;-1831713.0914346152
0.31227692;-2166956.6213926114;0.31337176;-1661815.560883209
0.32492164;-2004161.3416510718;0.32568984;-1511689.1048354567
0.3365008400000001;-1751451.6425900576;0.33743652;-1904682.3149838808
0.34905611999999997;-1747460.5591612249;0.34995528;-953283.746428276
0.36176496;-1978529.3282749737;0.36241772;-1398132.379172722
0.37274627999999993;-2120641.8196671917;0.3738236;-1471642.3811511982
0.3870604;-1937913.8743714655;0.38786248;1096099.3947859893
0.39917492000000004;2243500.2694661217;0.40011620000000003;-1704998.4977815542
0.41120596000000004;2778122.245215222;0.41204496;-3013577.9882926815
0.42289888;-1775731.1419057653;0.42390404;-1930270.3979914195
0.43533195999999996;-1507583.0347078722;0.43611864000000006;-2653213.6909964303
0.44751460000000004;-1570470.6969253516;0.44844956;-3130083.841855209
0.4600302;-1466145.8710522049;0.46101868;-1096901.0818621248
0.47351788;-1804187.1232507504;0.47461708;845936.9606726905
0.48553840000000004;-1611788.6498453033;0.4867888;-295875.4086741972
0.4990776;-1604547.612451478;0.50001836;939462.4087015506
0.5109267200000001;-2468049.188526341;0.5120972;-1742437.6297779498
0.523195;-1988149.2492865222;0.52399392;-2699282414249.257
0.5365647200000001;-2184416.5965040135;0.53775052;2699280411195.8027
0.5491472000000001;-2534943.356080578;0.5502198800000001;-3641603.882757099
0.56240696;-3375805.0011665835;0.56324424;-1879070.380317896
0.57520868;-510293.0987869665;0.57510508;1582340.9356461721
0.5872689600000001;-1307000.960399263;0.58908932;1353615.33565344
0.5989668;-2257131.004374748;0.6042493200000001;-1382146.1469986239
0.61186968;-1798693.2200187745;0.61690672;-837649.2246075702
0.62326988;-2111024.159519968;0.6274520800000001;-3038375.3449189477
0.63579488;-1796729.4379167815;0.64138904;-528216.8984607608
0.649091;-2699288638923.233;0.65328864;-1069048.4190615956
0.66088064;-1894073.499463121;0.6658835999999999;-1395034.6384430148
0.67381888;-2311381.9657312394;0.6776459200000001;-2081818.4525795176
0.68457736;-1263589.2935899002;0.68988536;4149297.9970287
0.6978650000000001;-7706188.119428621;0.7020291600000002;1815157.2058828948
0.70907512;-3496882.684602335;0.7142282;-3338977.604964669
0.7228241999999999;-1616758.2212240954;0.72736212;-1542869.33126612
0.73491292;-9599464.24880635;0.7394366000000001;-2138371.52812556
0.7471446399999999;-1883148.8939449096;0.7523821999999999;-1782140.6224630515
0.75968224;-1480745.1055504596;0.7633227599999999;-1663995.5531725553
0.7704988800000001;-336699.26833885355;0.77498048;-2008929.3441183409
0.78284212;-7624256.464080503;0.7863678500000001;-1345582.378548788
