Sub_Vg;Sub_Res;Des_Vg;Des_Res
-0.37878336000000007;-9806.911479007424;-0.37777395999999996;-9789.60230621251
-0.36433923999999995;-9437.194713263754;-0.3635305200000001;-9417.060365779676
-0.35115808000000004;-9058.127231690176;-0.35031699999999993;-9038.889926015938
-0.33807048;-8659.92250377435;-0.3373818;-8637.484414067882
-0.32493676;-8282.267641093891;-0.32416504;-8264.862485317351
-0.3114594;-7907.390290367356;-0.31057419999999997;-7886.838459069491
-0.29543664;-7523.887793802063;-0.29450804;-7505.753682019563
-0.27991092;-7152.952556794475;-0.27921276;-7134.768199729794
-0.26520772000000004;-6768.701306102136;-0.26454883999999995;-6751.974200675875
-0.25229188;-6387.987944939318;-0.2516348;-6369.702285285224
-0.23919708;-6013.13341487424;-0.23852720000000002;-5994.49781325466
-0.22492772;-5628.921073094545;-0.22403324000000002;-5611.325782337186
-0.21048848000000003;-5251.253965519765;-0.20954024000000002;-5233.248366390963
-0.19435;-4886.97403053287;-0.19332044;-4864.598509263564
-0.17982016;-4509.804106347474;-0.1789472;-4489.723112702071
-0.16497111999999997;-4135.964737715909;-0.16417791999999998;-4114.736921302568
-0.15177655999999998;-3770.228439295236;-0.15081084;-3752.355264874001
-0.13894096;-3412.516379838816;-0.13805144;-3391.290732431945
-0.12363296;-3039.475353706259;-0.12259447999999999;-3020.084067167119
-0.10841232000000002;-2662.589977367337;-0.10751956;-2641.270950375625
-0.093986488;-2269.2976383292553;-0.093045796;-2249.4859283800342
-0.079486484;-1885.7928897638255;-0.07869398;-1864.797692610515
-0.066000568;-1510.1430160481;-0.065152592;-1487.6725203700605
-0.050948664;-1116.8135711317427;-0.049928676000000005;-1093.908637205824
-0.035747968;-726.109198794457;-0.034736964;-708.7546703808573
-0.021046928;-355.5076351620089;-0.020227612000000002;-334.05226328123604
-0.006728704240000001;20.475447769379834;-0.0058889597520000005;39.839079859388136
0.0053476736;384.3679083325023;0.0061158316;401.7279379887072
0.019319516000000002;770.2677997795757;0.020361204;793.5472397779512
0.033851224;1164.1896369723017;0.034664112;1181.5679938076848
0.04785944;1535.4624010895973;0.04890498399999999;1557.080998072594
0.06367631200000001;1920.68943760613;0.064630388;1942.7890904436351
0.07812266799999999;2308.1449367716723;0.079044264;2327.9446745608493
0.09310203199999999;2685.55886946393;0.09405554;2706.310901294909
0.10650791999999999;3056.1285408874573;0.10732208;3075.359808617438
0.11953135999999999;3430.5623070092724;0.12057648;3450.330181820654
0.13474716;3789.609386568706;0.13599836;3809.9377370315287
0.14917112;4151.407842297426;0.14994248;4171.231816306171
0.1628698;4538.351495939959;0.16394424000000002;4561.055075535196
0.1768784;4909.08774475483;0.1779656;4929.265241139956
0.19010804;5276.697950806876;0.19139572000000002;5299.83697630674
0.20495756;5654.355990368192;0.20619852000000002;5678.197342029756
0.22037647999999999;6035.549850740991;0.22148852000000002;6060.288203485185
0.23532168000000003;6419.3430104100835;0.23641;6442.400848267684
0.24978108000000002;6812.51508234569;0.25080088;6835.938822079953
0.26192988;7183.899638096395;0.26297428;7205.121793262047
0.27567296;7572.241171277992;0.27683268;7596.73241806074
0.29002572;7954.69707337202;0.29066036;7976.785307094566
0.3039212;8328.160093851435;0.30504656;8351.08253372961
0.31939364;8702.09194093466;0.3204966;8726.810233713606
0.33321264;9085.096764350097;0.33423860000000005;9108.176067777842
0.34815772;9457.369847844595;0.3486354;9483.339215721637
0.3619404;9820.060695015383;0.3647392;9882.524770945885
0.37623048;10191.403454705953;0.38241175999999993;10329.206600452335
0.39230408000000005;10566.074515928523;0.39797288000000003;10715.131444927893
0.4068318;10957.707877141982;0.41229351999999997;11107.912739666153
0.42050244;11346.138136004889;0.42599600000000004;11490.433483590929
0.43400575999999996;11717.944090971598;0.43900204000000004;11859.439942499306
0.44667940000000006;12099.537735898331;0.45186884;12242.21115062349
0.461331;12479.526140120865;0.46736639999999996;12619.417854605457
0.4767794000000001;12842.78775821704;0.4827368000000001;12977.567916259683
0.49140111999999997;13193.594116448767;0.49751132000000003;13291.993167893277
0.5057873599999999;13344.911699721597;0.51086812;13344.733302057972
0.51832544;13344.844791514008;0.5238384;13344.822650928169
0.5330562400000001;13344.911699721597;0.53906256;13344.911699721597
0.54825068;13344.911699721597;0.55423016;13344.911699721597
0.56388792;13344.8893951219;0.5700698;13344.77788516986
0.57908712;13344.911699721597;0.58456364;13344.867092386115
0.59278648;13344.376529084808;0.59850908;13344.911699721597
0.60703028;13344.867092386115;0.6121549199999999;13344.911699721597
0.62015132;13344.8893951219;0.6256051599999999;13344.532774859805
0.63476312;13344.911699721597;0.6409046;13344.800184178524
0.6497436000000001;13344.733287152296;0.65529732;13344.867092386115
0.66358236;13344.8893951219;0.6685403199999999;13344.80017858703
0.6766115599999999;13344.844791514008;0.6818694799999999;13344.331988814138
0.68990076;13344.822483186725;0.6951628000000001;13344.911699721597
0.7032106;13344.62179955737;0.7086237599999999;13344.57722575663
0.71855076;13344.8893951219;0.72487296;13344.644091115999
0.7346757599999999;13344.911699721597;0.7405645599999999;13344.042347468496
0.74959904;13344.62188524377;0.7533329523809523;13344.195112155709
