t;vds;corrente;vg;RES_MED;RES_TEO
0.00162;0.0193433;0.0532738;-0.0248426;1815.460883;1877.095308
0.00164;0.0194303;0.054412;-0.0454435;1785.479306;1837.82989
0.00166;0.0192045;0.0561849;-0.0653559;1709.044601;1779.837643
0.00168;0.0193234;0.0582821;-0.0861008;1657.747404;1715.79267
0.0017;0.0191997;0.0598341;-0.104525;1604.411197;1671.287777
0.00172;0.0193186;0.0582622;-0.124629;1657.901693;1716.378716
0.00174;0.0192324;0.0609125;-0.144894;1578.690745;1641.699159
0.00176;0.0193281;0.0619492;-0.163877;1559.995932;1614.22585
0.00178;0.0192947;0.0625461;-0.18307;1542.438298;1598.82071
0.0018;0.0193601;0.0623591;-0.192065;1552.307522;1603.61519
0.00182;0.0192396;0.06529;-0.175594;1473.39562;1531.628121
0.00184;0.0193425;0.0654711;-0.155698;1477.17848;1527.391475
0.00186;0.0193314;0.0644762;-0.136218;1499.1113;1550.959889
0.00188;0.0193577;0.0632226;-0.115586;1530.91616;1581.712868
0.0019;0.0193752;0.0606797;-0.0957362;1596.514155;1647.997601
0.00192;0.0194199;0.0587735;-0.0780331;1652.096608;1701.447081
0.00194;0.0190561;0.0606021;-0.0567445;1572.230995;1650.107835
0.00196;0.0194319;0.0545891;-0.0362074;1779.833337;1831.867534
0.00198;0.0192883;0.0563679;-0.0161669;1710.929447;1774.059349
0.002;0.0191303;0.0567619;0.00265713;1685.135628;1761.745114
0.00202;0.0193768;0.0560097;0.0224896;1729.771807;1785.405028
0.00204;0.0194383;0.0552915;0.0422101;1757.801832;1808.596258
0.00206;0.0194486;0.0518332;0.0623146;1876.075565;1929.265413
0.00208;0.019325;0.0509677;0.0814424;1895.808522;1962.026931
0.0021;0.0194327;0.0502733;0.101051;1932.70583;1989.127429
0.00212;0.0194287;0.0509697;0.120227;1905.906843;1961.949943
0.00214;0.0194726;0.0450044;0.140219;2163.410689;2222.00496
0.00216;0.019455;0.0454143;0.159523;2141.946479;2201.949606
0.00218;0.0195364;0.0431778;0.178171;2262.319989;2316.004984
0.0022;0.0194646;0.0402051;0.198197;2420.66305;2487.246643
0.00222;0.0193601;0.0442384;0.218238;2188.155539;2260.479583
0.00224;0.0195763;0.0414706;0.23855;2360.262451;2411.346834
0.00226;0.0195579;0.0419621;0.257118;2330.424359;2383.102848
0.00228;0.0194734;0.0393037;0.277126;2477.298575;2544.289723
0.0023;0.0195172;0.0348626;0.296558;2799.160131;2868.403389
0.00232;0.019534;0.0335334;0.316503;2912.618464;2982.101427
0.00234;0.0196313;0.0378632;0.335119;2592.398424;2641.08686
0.00236;0.0193976;0.038669;0.355911;2508.15899;2586.050842
0.00238;0.0195635;0.0348487;0.374465;2806.919627;2869.547501
0.0024;0.0197095;0.0338319;0.394969;2912.857392;2955.790245
0.00242;0.0194901;0.034988;0.415024;2785.254945;2858.122785
0.00244;0.0194878;0.0358535;0.433672;2717.698412;2789.127979
0.00246;0.0195603;0.0332947;0.453329;2937.449504;3003.481035
0.00248;0.0196234;0.0338995;0.474843;2894.349474;2949.896016
0.0025;0.0194143;0.0370334;0.495154;2621.187901;2700.265166
0.00252;0.0194893;0.0376423;0.514809;2588.74989;2656.585809
0.00254;0.0195204;0.0362216;0.534898;2694.58003;2760.783621
0.00256;0.0196289;0.0332151;0.555804;2954.815731;3010.678878
0.00258;0.0196234;0.0394709;0.576118;2485.805999;2533.51203
0.0026;0.0194399;0.0368523;0.595258;2637.542297;2713.53484
0.00262;0.0195516;0.0366116;0.615894;2670.137334;2731.374756
0.00264;0.0194989;0.0363171;0.633997;2684.534283;2753.523822
0.00266;0.0194303;0.0405414;0.655221;2396.352864;2466.614374
0.00268;0.019522;0.0358057;0.673967;2726.102269;2792.851418
0.0027;0.0193665;0.0413333;0.694353;2342.723663;2419.35679
0.00272;0.0194215;0.042559;0.713469;2281.714796;2349.679269
0.00274;0.0192899;0.0438523;0.733849;2199.417134;2280.382101
0.00276;0.0194374;0.0455039;0.753166;2135.794954;2197.613831
0.00278;0.0194271;0.0449129;0.77193;2162.752795;2226.531798
0.0028;0.0194343;0.0435758;0.785039;2229.941848;2294.85173
0.00282;0.0194103;0.0402887;0.767942;2408.901255;2482.085548
0.00284;0.0194391;0.043731;0.749792;2222.576662;2286.70737
0.00286;0.0194247;0.0417551;0.729251;2326.02724;2394.917028
0.00288;0.0194718;0.0419203;0.70948;2322.478608;2385.479112
0.0029;0.0194853;0.0412139;0.688951;2363.923337;2426.365862
0.00292;0.0193417;0.0405414;0.670603;2385.425762;2466.614374
0.00294;0.0196082;0.038092;0.650419;2573.795023;2625.223144
0.00296;0.0194191;0.0387725;0.62982;2504.23625;2579.147592
0.00298;0.0195707;0.0375926;0.611779;2602.998994;2660.097998
0.003;0.0194566;0.0362156;0.590653;2686.218094;2761.241012
0.00302;0.0194239;0.0387008;0.572402;2509.495928;2583.925914
0.00304;0.0194909;0.0410846;0.551689;2372.044513;2434.002035
0.00306;0.0193242;0.0357082;0.530434;2705.849077;2800.477201
0.00308;0.019656;0.0350417;0.510712;2804.65845;2853.742826
0.0031;0.0194829;0.0362574;0.49096;2686.748085;2758.057665
0.00312;0.0195555;0.0368344;0.470361;2654.515887;2714.853507
0.00314;0.0196449;0.0318123;0.449328;3087.626484;3143.43823
0.00316;0.0195619;0.033233;0.430022;2943.143863;3009.057262
0.00318;0.0195101;0.0323953;0.410255;3011.254719;3086.867539
0.0032;0.0194343;0.0356466;0.390536;2725.968255;2805.316636
0.00322;0.0195651;0.0336269;0.369884;2909.144167;2973.809658
0.00324;0.019487;0.0329942;0.351462;2953.094786;3030.835723
0.00326;0.0195228;0.0352088;0.330508;2772.431892;2840.199041
0.00328;0.0194845;0.0393376;0.311428;2476.574575;2542.097128
0.0033;0.0193433;0.0325206;0.291933;2974.007245;3074.974016
0.00332;0.0194008;0.0391426;0.271989;2478.22066;2554.761309
0.00334;0.0195882;0.0376741;0.254013;2599.690504;2654.343435
0.00336;0.0194518;0.0385416;0.234709;2523.481122;2594.599083
0.00338;0.0195428;0.0402986;0.214172;2424.749247;2481.475783
0.0034;0.0194008;0.0412079;0.19309;2354.014643;2426.719149
0.00342;0.0194422;0.0385835;0.174217;2519.496676;2591.781461
0.00344;0.019467;0.0440712;0.15541;2208.585198;2269.055528
0.00346;0.0193513;0.0448174;0.13593;2158.9048;2231.276245
0.00348;0.019376;0.0471534;0.115106;2054.570826;2120.737847
0.0035;0.0192069;0.0489402;0.0962325;1962.282541;2043.309999
0.00352;0.0194199;0.0463435;0.0775849;2095.212921;2157.799907
0.00354;0.0193784;0.0499549;0.0574167;1939.58951;2001.805629
0.00356;0.0193106;0.0539205;0.0384003;1790.65476;1854.582209
0.00358;0.019455;0.0543623;0.0177356;1789.383451;1839.510102
0.0036;0.0193752;0.0559123;-0.000960409;1732.642013;1788.515228
0.00362;0.0194183;0.05868;-0.0212251;1654.592706;1704.158146
0.00364;0.0194487;0.0517696;-0.0406415;1878.39002;1931.635554
0.00366;0.0191974;0.0579398;-0.0620265;1656.667783;1725.929327
0.00368;0.0191144;0.0556596;-0.0807861;1717.080252;1796.635261
0.0037;0.0193362;0.0551521;-0.101051;1752.988553;1813.167586
0.00372;0.0194191;0.057914;-0.119315;1676.546258;1726.698208
0.00374;0.0192085;0.0597465;-0.141596;1607.500021;1673.738211
0.00376;0.0192388;0.0634475;-0.159651;1516.119626;1576.10623
0.00378;0.0191606;0.0605842;-0.179131;1581.319882;1650.59537
0.0038;0.0192109;0.0645299;-0.193667;1488.527024;1549.669223
0.00382;0.0193226;0.0626018;-0.179307;1543.294282;1597.398158
0.00384;0.0193218;0.0629978;-0.159539;1533.529742;1587.357019
0.00386;0.0193202;0.0618138;-0.140684;1562.774008;1617.76173
0.00388;0.0193625;0.059257;-0.119779;1633.773225;1687.564338
0.0039;0.0193776;0.0611214;-0.100171;1585.173114;1636.088179
0.00392;0.0192141;0.0620248;-0.0815064;1548.904632;1612.258322
0.00394;0.0192971;0.0605404;-0.0613864;1593.737405;1651.789549
0.00396;0.0193042;0.0584174;-0.0401289;1652.264565;1711.818739
0.00398;0.0193521;0.0542429;-0.0206967;1783.837147;1843.559249
0.004;0.0193314;0.0523426;-0.0011845;1846.622063;1910.489735
0.00402;0.0193266;0.054016;0.0186159;1788.969935;1851.303318
0.00404;0.0192244;0.055771;0.0392649;1723.51222;1793.046565
0.00406;0.0192963;0.0529038;0.0576086;1823.715877;1890.223387
0.00408;0.0192883;0.0501419;0.0764164;1923.371472;1994.340063
0.0041;0.0192938;0.0482816;0.0962654;1998.048946;2071.182397
0.00412;0.0192181;0.0492426;0.114881;1951.369343;2030.761983
0.00414;0.0193378;0.0484746;0.136282;1994.63224;2062.936053
0.00416;0.0192564;0.0455238;0.155058;2114.981614;2196.653179
0.00418;0.0194526;0.0453825;0.174457;2143.182945;2203.492536
0.0042;0.0193617;0.0458082;0.193667;2113.344336;2183.015268
0.00422;0.0194614;0.0445269;0.214668;2185.353124;2245.833418
0.00424;0.0193681;0.0399823;0.234068;2422.084272;2501.10674
0.00426;0.0196545;0.0412716;0.254333;2381.116797;2422.973667
0.00428;0.0194869;0.0381616;0.272628;2553.207937;2620.435202
0.0043;0.0195021;0.0392222;0.29222;2486.104808;2549.576515
0.00432;0.0195356;0.0368623;0.311508;2649.807527;2712.798713
0.00434;0.0195492;0.038856;0.331276;2515.596047;2573.605106
0.00436;0.0193537;0.0360684;0.35127;2682.916348;2772.510009
0.00438;0.0196138;0.0335374;0.37035;2924.168242;2981.745753
0.0044;0.0195284;0.0374214;0.391064;2609.255667;2672.26774
0.00442;0.0193633;0.0372205;0.410992;2601.160651;2686.691474
0.00444;0.0194032;0.0327475;0.430311;2962.546759;3053.668219
0.00446;0.0196784;0.0348367;0.449327;2824.37774;2870.535958
0.00448;0.0196433;0.0358077;0.471818;2742.887703;2792.695426
0.0045;0.0195164;0.0350755;0.491458;2782.055851;2850.992858
0.00452;0.0196018;0.0341463;0.511081;2870.267057;2928.574985
0.00454;0.0195141;0.0334638;0.530784;2915.702939;2988.303779
0.00456;0.0194534;0.0329086;0.551642;2955.671162;3038.719362
0.00458;0.019613;0.0379965;0.572406;2580.895609;2631.821352
0.0046;0.019443;0.0389436;0.591259;2496.302345;2567.816021
0.00462;0.0193768;0.0374174;0.612003;2589.276647;2672.553411
0.00464;0.019522;0.0393396;0.630536;2481.214857;2541.96789
0.00466;0.0195141;0.0407543;0.651525;2394.115468;2453.728809
0.00468;0.0193999;0.0404439;0.671071;2398.371571;2472.560757
0.0047;0.0194885;0.0429729;0.688946;2267.533725;2327.047977
0.00472;0.0193928;0.0428535;0.709612;2262.685662;2333.531684
0.00474;0.0194909;0.0407443;0.729152;2391.856039;2454.331035
0.00476;0.0195516;0.0419939;0.749565;2327.90953;2381.298236
0.00478;0.0194582;0.0463674;0.76812;2098.263004;2156.687673
0.0048;0.01953;0.0466619;0.785262;2092.713756;2143.076043
0.00482;0.0193497;0.0424675;0.77195;2278.17743;2354.741861
0.00484;0.0193282;0.0446084;0.75261;2166.430538;2241.730257
0.00486;0.0194518;0.0412836;0.733125;2355.874972;2422.269376
0.00488;0.0193569;0.0400519;0.712105;2416.477121;2496.760453
0.0049;0.0195412;0.0403464;0.69391;2421.678266;2478.535879
0.00492;0.0194;0.0413532;0.67398;2345.64677;2418.192546
0.00494;0.0195364;0.0371966;0.655081;2626.100235;2688.417759
0.00496;0.0195212;0.036349;0.633981;2685.245811;2751.107321
0.00498;0.0193529;0.0383566;0.615506;2522.760099;2607.113248
0.005;0.0194901;0.0394888;0.594943;2467.800997;2532.363607
0.00502;0.0192979;0.0368822;0.575861;2616.153592;2711.335007
0.00504;0.0194582;0.0355968;0.55622;2733.138934;2809.24128
0.00506;0.0194071;0.0370692;0.535187;2617.685302;2697.657354
0.00508;0.0195037;0.0350715;0.514075;2780.562565;2851.318022
0.0051;0.0193433;0.0334777;0.494929;2888.982815;2987.06303
0.00512;0.019656;0.0335573;0.473753;2928.721917;2979.977531
0.00514;0.0194949;0.0312711;0.453715;3117.079348;3197.840818
0.00516;0.0195811;0.0326042;0.433144;3002.849326;3067.089516
0.00518;0.0195723;0.0347492;0.414864;2816.223107;2877.764092
0.0052;0.019526;0.0348745;0.395112;2799.466659;2867.424623
0.00522;0.0195834;0.0304294;0.375069;3217.841955;3286.295491
0.00524;0.0195627;0.0326639;0.354902;2994.544436;3061.483779
0.00526;0.0195891;0.0332668;0.335663;2944.241706;3005.999976
0.00528;0.0195069;0.0350377;0.315734;2783.701556;2854.068618
0.0053;0.0194989;0.0366892;0.295678;2657.307873;2725.597724
0.00532;0.0196321;0.0361878;0.276711;2712.53019;2763.362238
0.00534;0.0195284;0.0377537;0.257374;2586.289556;2648.74701
0.00536;0.0194399;0.040426;0.23831;2404.380844;2473.655568
0.00538;0.0193888;0.0372543;0.21851;2602.223099;2684.253898
0.0054;0.0193968;0.0405533;0.198245;2391.519309;2465.890569
0.00542;0.0194151;0.0430484;0.177626;2255.031546;2322.966707
0.00544;0.0193417;0.0447119;0.159764;2162.925306;2236.541055
0.00546;0.0194279;0.0430445;0.139724;2256.722694;2323.177177
0.00548;0.019376;0.0477523;0.118915;2028.802801;2094.139968
0.0055;0.0192651;0.0473404;0.0999468;2034.741996;2112.36069
0.00552;0.0195044;0.047028;0.0803699;2073.700774;2126.392787
0.00554;0.0196281;0.0480348;0.0624108;2043.112493;2081.824011
0.00556;0.0193194;0.0506096;0.0425299;1908.669501;1975.909709
0.00558;0.0194941;0.0483711;0.0226495;2015.056511;2067.350133
0.0056;0.019384;0.0542827;0.00185679;1785.467561;1842.207554
0.00562;0.0192596;0.0521715;-0.0169032;1845.797035;1916.755317
0.00564;0.0192237;0.0556854;-0.0369278;1726.098762;1795.80285
0.00566;0.0193417;0.0544876;-0.0573685;1774.871714;1835.279954
0.00568;0.0192587;0.0615333;-0.0777129;1564.900631;1625.136308
0.0057;0.0193505;0.0590719;-0.0964575;1637.876892;1692.85227
0.00572;0.0191614;0.0589427;-0.116546;1625.426049;1696.562933
0.00574;0.0191654;0.0648303;-0.136954;1478.12057;1542.48862
0.00576;0.0192157;0.0620427;-0.157122;1548.586699;1611.793168
0.00578;0.019234;0.0628963;-0.176202;1529.02476;1589.918644
0.0058;0.0191335;0.0647567;-0.193715;1477.33748;1544.241754
0.00582;0.019368;0.0618079;-0.182813;1566.790006;1617.916156
0.00584;0.0192819;0.059639;-0.163653;1616.55125;1676.755143
0.00586;0.019262;0.0613662;-0.144926;1569.430729;1629.56155
0.00588;0.0192181;0.0616208;-0.123669;1559.384169;1622.828655
0.0059;0.019479;0.0650651;-0.103837;1496.885427;1536.922252
0.00592;0.0192683;0.0630913;-0.0860522;1527.017196;1585.004589
0.00594;0.0193521;0.0563242;-0.065132;1717.920539;1775.435781
0.00596;0.0192061;0.0546189;-0.0448508;1758.191761;1830.868069
0.00598;0.0193705;0.0575319;-0.0247785;1683.457351;1738.16613
0.006;0.0193122;0.0532321;-0.00459395;1813.961876;1878.565753
0.00602;0.0194223;0.0518412;0.0144061;1873.249462;1928.967694
0.00604;0.0194207;0.0539881;0.0345107;1798.609323;1852.260035
0.00606;0.019412;0.0546488;0.0539431;1776.068276;1829.866347
0.00608;0.019309;0.0485223;0.0738394;1989.703703;2060.908077
0.0061;0.0193825;0.0481562;0.0931281;2012.461531;2076.57581
0.00612;0.0194215;0.0471076;0.111824;2061.397736;2122.799718
0.00614;0.0194957;0.046642;0.132344;2089.929677;2143.990395
0.00616;0.0196273;0.0440294;0.1512;2228.885699;2271.209692
0.00618;0.0193776;0.0468171;0.170792;2069.500247;2135.971686
0.0062;0.0194255;0.0444453;0.189986;2185.326682;2249.956688
0.00622;0.0193928;0.0469027;0.210682;2067.343671;2132.07342
0.00624;0.0196425;0.0453387;0.230131;2166.195767;2205.621246
0.00626;0.019522;0.036731;0.249851;2657.42833;2722.495984
0.00628;0.0196002;0.0400061;0.269475;2449.651428;2499.618808
0.0063;0.0194375;0.0417193;0.28878;2329.557303;2396.972145
0.00632;0.0194327;0.0385297;0.309283;2521.781898;2595.400431
0.00634;0.0195787;0.0401354;0.32833;2439.08121;2491.566049
0.00636;0.0195332;0.0359013;0.347747;2720.402882;2785.414456
0.00638;0.019522;0.0331613;0.366956;2943.491359;3015.563322
0.0064;0.019392;0.0369837;0.386933;2621.695504;2703.893878
0.00642;0.0195061;0.0373816;0.407134;2609.050977;2675.11289
0.00644;0.019562;0.0333922;0.425943;2929.127161;2994.71134
0.00646;0.0195109;0.0332966;0.446862;2929.86371;3003.309647
0.00648;0.0194893;0.0360047;0.466069;2706.493874;2777.415171
0.0065;0.0195116;0.0372781;0.486767;2617.03252;2682.540151
0.00652;0.0195404;0.039642;0.507289;2464.608244;2522.577065
0.00654;0.0195197;0.0369917;0.526575;2638.389152;2703.309121
0.00656;0.0193665;0.0382134;0.548152;2533.993311;2616.883083
0.00658;0.0195356;0.0351551;0.567441;2778.487332;2844.537492
0.0066;0.0195133;0.0351014;0.587547;2779.561499;2848.889218
0.00662;0.0194199;0.0358077;0.607076;2711.693295;2792.695426
0.00664;0.0194686;0.0380761;0.625944;2556.538091;2626.319397
