t,vds,corrente
0.06,-0.0149256,0.00443988
0.08,-0.0139306,-0.0024666
0.1,0.0388066,0.0152929
0.12,0.0208958,0.013813
0.14,0.0557222,0.0226927
0.16,0.0318413,0.0202261
0.18,0.0636826,0.0276259
0.2,0.0457718,0.026146
0.22,0.0796032,0.0335458
0.24,0.0577123,0.0320658
0.26,0.0855734,0.0389723
0.28,0.0676627,0.0379856
0.3,0.098509,0.0453854
0.32,0.0805982,0.0439055
0.34,0.109454,0.0498253
0.36,0.105474,0.0473587
0.38,0.0726379,0.0399589
0.4,0.0915437,0.0419322
0.42,0.0577123,0.0335458
0.44,0.0786082,0.0360124
0.46,0.048757,0.0281192
0.48,0.073633,0.0305858
0.5,0.0378115,0.0221994
0.52,0.0597024,0.0236794
0.54,0.0268661,0.0152929
0.56,0.048757,0.0177595
0.58,0.0109454,0.0103597
0.6,0.0318413,0.012333
0.62,0.00099504,0.00443988
0.64,0.023881,0.00591984
0.66,-0.0109454,-0.00197328
0.68,0.0139306,0
0.7,-0.024876,-0.00789312
0.72,-0.00099504,-0.00591984
0.74,-0.0338314,-0.0133196
0.76,-0.0129355,-0.0118397
0.78,-0.0457718,-0.0197328
0.8,-0.024876,-0.0172662
0.82,-0.0567173,-0.0251593
0.84,-0.0616925,-0.026146
0.86,-0.0298512,-0.0187462
0.88,-0.049752,-0.0212128
0.9,-0.0169157,-0.013813
0.92,-0.0358214,-0.0157862
0.94,-0.0049752,-0.0073998
0.96,-0.0288562,-0.0098664
0.98,0.00696528,-0.00197328
1,-0.0149256,-0.00345324
1.02,0.0218909,0.0049332
1.04,-0.00199008,0.0024666
1.06,0.0308462,0.010853
1.08,0.00796032,0.00838644
1.1,0.0417917,0.0157862
1.12,0.0189058,0.0143063
1.14,0.0547272,0.0217061
1.16,0.0318413,0.0197328
1.18,0.0626875,0.0271326
1.2,0.0427867,0.0256526
1.22,0.0786082,0.0335458
1.24,0.0557222,0.0315725
1.26,0.0875635,0.0394656
1.28,0.0656726,0.0379856
1.3,0.100499,0.0458788
1.32,0.0766181,0.0434122
1.34,0.109454,0.0498253
1.36,0.104479,0.0473587
1.38,0.0716429,0.0394656
1.4,0.0925387,0.0414389
1.42,0.0606974,0.0340391
1.44,0.0796032,0.0360124
1.46,0.0477619,0.0281192
1.48,0.0666677,0.0295992
1.5,0.0388066,0.0226927
1.52,0.0557222,0.0236794
1.54,0.0318413,0.0167729
1.56,0.0358214,0.0177595
1.58,0.0228859,0.0103597
1.6,0.0288562,0.012333
1.62,-0.00099504,0.00394656
1.64,0.0218909,0.00641316
1.66,-0.00895536,-0.00147996
1.68,0.0129355,0.00049332
1.7,-0.0199008,-0.0073998
1.72,0.00298512,-0.00591984
1.74,-0.0328363,-0.013813
1.76,-0.0129355,-0.0113464
1.78,-0.0457718,-0.0187462
1.8,-0.0208958,-0.0167729
1.82,-0.0547272,-0.0251593
1.84,-0.0616925,-0.026146
1.86,-0.0298512,-0.0192395
1.88,-0.0517421,-0.0207194
1.9,-0.0149256,-0.0133196
1.92,-0.0378115,-0.0152929
1.94,-0.00696528,-0.0073998
1.96,-0.00099504,-0.00887976
1.98,-0.025871,-0.00197328
2,-0.00597024,-0.00295992
2.02,0.00895536,0.00345324
2.04,0.00597024,0.0024666
2.06,0.0208958,0.0098664
2.08,0.0179107,0.00838644
2.1,0.0328363,0.0157862
2.12,0.0288562,0.0147996
2.14,0.0477619,0.0217061
2.16,0.0407966,0.0202261
2.18,0.0636826,0.0281192
2.2,0.0427867,0.0256526
2.22,0.0776131,0.0340391
2.24,0.0567173,0.0315725
2.26,0.0875635,0.0399589
2.28,0.0666677,0.0374923
2.3,0.0965189,0.0453854
2.32,0.0786082,0.0434122
2.34,0.110449,0.049332
2.36,0.106469,0.0468654
2.38,0.0726379,0.0394656
2.4,0.0915437,0.0419322
2.42,0.0597024,0.0335458
2.44,0.0815933,0.035519
2.46,0.048757,0.0276259
2.48,0.0686578,0.0300925
2.5,0.0368165,0.0221994
2.52,0.0318413,0.0236794
2.54,0.0557222,0.0167729
2.56,0.0368165,0.0177595
2.58,0.0218909,0.0103597
2.6,0.024876,0.0118397
2.62,0.0109454,0.00443988
2.64,0.0139306,0.00591984
2.66,-0.00099504,-0.00147996
2.68,0.00398016,0
2.7,-0.0139306,-0.0073998
2.72,-0.00796032,-0.00591984
2.74,-0.0338314,-0.0133196
2.76,-0.0139306,-0.0118397
2.78,-0.0477619,-0.0197328
2.8,-0.0228859,-0.0172662
2.82,-0.0577123,-0.024666
2.84,-0.0597024,-0.026146
2.86,-0.0278611,-0.0197328
2.88,-0.0467669,-0.0212128
2.9,-0.0159206,-0.013813
2.92,-0.0398016,-0.0152929
2.94,-0.00597024,-0.00690648
2.96,-0.0298512,-0.0098664
2.98,0.00696528,-0.00197328
3,-0.0159206,-0.00345324
3.02,0.0189058,0.00443988
3.04,-0.00099504,0.0024666
3.06,0.0208958,0.00937308
3.08,0.0179107,0.00838644
3.1,0.0348264,0.0157862
3.12,0.0288562,0.0143063
3.14,0.0437818,0.0217061
3.16,0.0417917,0.0202261
3.18,0.0557222,0.0271326
3.2,0.0527371,0.026146
