t,ch1,ch2,ch3,ch4
0,0.0855734,0.0419322
0.02,0.108459,0.049332
0.04,0.107464,0.0498253
0.06,0.075623,0.0419322
0.08,0.0955238,0.0434122
0.1,0.0656726,0.0360124
0.12,0.0825883,0.0374923
0.14,0.0527371,0.0295992
0.16,0.0726379,0.0315725
0.18,0.0417917,0.0241727
0.2,0.0606974,0.026146
0.22,0.0298512,0.0177595
0.24,0.048757,0.0197328
0.26,0.0179107,0.012333
0.28,0.0378115,0.0147996
0.3,0.00696528,0.00591984
0.32,0.0268661,0.00789312
0.34,-0.00696528,-0.00049332
0.36,0.0129355,0.0024666
0.38,-0.0179107,-0.00542652
0.4,0,-0.00394656
0.42,-0.0308462,-0.0118397
0.44,-0.00796032,-0.00937308
0.46,-0.0407966,-0.0172662
0.48,-0.0218909,-0.0152929
0.5,-0.0537322,-0.023186
0.52,-0.0587074,-0.0256526
0.54,-0.0338314,-0.0212128
0.56,-0.0537322,-0.0226927
0.58,-0.0199008,-0.0157862
0.6,-0.0398016,-0.0177595
0.62,-0.00796032,-0.00937308
0.64,-0.0318413,-0.0113464
0.66,0.00298512,-0.00345324
0.68,-0.0189058,-0.00591984
0.7,0.0129355,0.00197328
0.72,-0.00597024,0
0.74,0.025871,0.00838644
0.76,0.00597024,0.00641316
0.78,0.0388066,0.013813
0.8,0.0179107,0.0113464
0.82,0.048757,0.0192395
0.84,0.0288562,0.0177595
0.86,0.0587074,0.0256526
0.88,0.0407966,0.0241727
0.9,0.073633,0.0315725
0.92,0.050747,0.0295992
0.94,0.0845784,0.0374923
0.96,0.0646776,0.0360124
0.98,0.0965189,0.0434122
1,0.075623,0.0414389
1.02,0.109454,0.049332
1.04,0.106469,0.049332
1.06,0.0766181,0.0414389
1.08,0.0955238,0.0434122
1.1,0.0666677,0.0360124
1.12,0.0835834,0.0374923
1.14,0.0537322,0.0300925
1.16,0.073633,0.0320658
1.18,0.0398016,0.0236794
1.2,0.0616925,0.026146
1.22,0.0278611,0.0182528
1.24,0.0467669,0.0197328
1.26,0.0159206,0.0118397
1.28,0.0328363,0.013813
1.3,0.00597024,0.00690648
1.32,0.0268661,0.00789312
1.34,-0.00597024,0.00049332
1.36,0.0159206,0.00197328
1.38,-0.0189058,-0.00542652
1.4,0.00298512,-0.00345324
1.42,-0.0318413,-0.0118397
