t,vds,corrente
1.98,0.00099504,-0.00049332
2,-0.00298512,-0.00197328
2.02,0.0129355,0.0049332
2.04,0.00796032,0.00443988
2.06,0.024876,0.0113464
2.08,0.0208958,0.0098664
2.1,0.0467669,0.0177595
2.12,0.024876,0.0152929
2.14,0.0557222,0.0226927
2.16,0.0348264,0.0217061
2.18,0.0666677,0.0295992
2.2,0.0477619,0.0276259
2.22,0.0786082,0.0350257
2.24,0.0577123,0.0330524
2.26,0.0935338,0.0404522
2.28,0.0716429,0.0394656
2.3,0.101494,0.0463721
2.32,0.0805982,0.0443988
2.34,0.109454,0.049332
2.36,0.098509,0.0463721
2.38,0.0716429,0.038479
2.4,0.0805982,0.0399589
2.42,0.0656726,0.0325591
2.44,0.0696528,0.0340391
2.46,0.0547272,0.0266393
2.48,0.0577123,0.0281192
2.5,0.0417917,0.0212128
2.52,0.0457718,0.0221994
2.54,0.0308462,0.0152929
2.56,0.0338314,0.0162796
2.58,0.0189058,0.00887976
2.6,0.023881,0.0103597
2.62,0.00796032,0.00295992
2.64,0.0109454,0.00443988
2.66,-0.0139306,-0.00345324
2.68,0.00597024,-0.00098664
2.7,-0.0228859,-0.00887976
2.72,-0.00199008,-0.00690648
2.74,-0.0358214,-0.0152929
2.76,-0.0139306,-0.0128263
2.78,-0.048757,-0.0212128
2.8,-0.0318413,-0.0192395
2.82,-0.0616925,-0.026146
2.84,-0.0597024,-0.0256526
2.86,-0.0268661,-0.0177595
2.88,-0.0467669,-0.0197328
2.9,-0.0119405,-0.012333
2.92,-0.0368165,-0.013813
2.94,-0.00398016,-0.00641316
2.96,-0.0228859,-0.00838644
2.98,0.00597024,0
3,-0.00696528,-0.0024666
3.02,0.0119405,0.0049332
3.04,0.00895536,0.00394656
3.06,0.023881,0.0113464
3.08,0.0208958,0.0098664
3.1,0.0358214,0.0167729
3.12,0.0328363,0.0157862
3.14,0.0477619,0.023186
3.16,0.0447768,0.0217061
3.18,0.0587074,0.0286126
3.2,0.0527371,0.0276259
3.22,0.0776131,0.0345324
3.24,0.0577123,0.0335458
3.26,0.0875635,0.0404522
