t,vds,corrente,vg
0;0.0089748;0.0419322;0.079883
0.02;0.0103709;0.0374923;0.0639064
0.04;0.0101714;0.0389723;0.079883
0.06;0.0079776;0.0330524;0.0559181
0.08;0.0101714;0.0345324;0.0718947
0.1;0.0079776;0.0295992;0.0479298
0.12;0.0103709;0.0310792;0.0639064
0.14;0.0079776;0.0256526;0.0399415
0.16;0.009972;0.0266393;0.0559181
0.18;0.0079776;0.0217061;0.0319532
0.2;0.0101714;0.0226927;0.0479298
0.22;0.00817704;0.0177595;0.0239649
0.24;0.00817704;0.0192395;0.0399415
0.26;0.009972;0.013813;0.0159766
0.28;0.00817704;0.0152929;0.0319532
0.3;0.0103709;0.0098664;0.0079883
0.32;0.0079776;0.010853;0.0239649
0.34;0.0107698;0.00591984;0
0.36;0.0101714;0.00690648;0.0159766
0.38;0.00777816;0.00197328;-0.0079883
0.4;0.0101714;0.00345324;0.0079883
0.42;0.00817704;-0.00197328;-0.0079883
0.44;0.00817704;-0.00098664;0
0.46;0.0101714;-0.00591984;-0.0159766
0.48;0.00817704;-0.00443988;-0.0079883
0.5;0.0101714;-0.0098664;-0.0319532
0.52;0.0101714;-0.00838644;-0.0159766
0.54;0.00817704;-0.013813;-0.0319532
0.56;0.0101714;-0.012333;-0.0159766
0.58;0.00817704;-0.0177595;-0.0399415
0.6;0.009972;-0.0162796;-0.0239649
0.62;0.00817704;-0.0217061;-0.0559181
0.64;0.009972;-0.0202261;-0.0399415
0.66;0.00817704;-0.0251593;-0.0639064
0.68;0.0101714;-0.0241727;-0.0399415
0.7;0.0079776;-0.0295992;-0.0718947
0.72;0.0079776;-0.0281192;-0.0559181
0.74;0.0103709;-0.0335458;-0.0718947
0.76;0.00817704;-0.0320658;-0.0639064
0.78;0.0101714;-0.0374923;-0.079883
0.8;0.00757872;-0.0360124;-0.0718947
0.82;0.0101714;-0.0414389;-0.0958596
0.84;0.009972;-0.0404522;-0.079883
0.86;0.0079776;-0.0453854;-0.0958596
0.88;0.0079776;-0.0439055;-0.0878713
0.9;0.0101714;-0.049332;-0.103848
0.92;0.0101714;-0.0483454;-0.0878713
0.94;0.00817704;-0.0532786;-0.111836
0.96;0.0101714;-0.0517986;-0.0958596
0.98;0.0079776;-0.0572251;-0.119824
1;0.0079776;-0.0557452;-0.103848
1.02;0.0101714;-0.0611717;-0.127813
1.04;0.0079776;-0.0596917;-0.111836
1.06;0.0101714;-0.0626516;-0.135801
1.08;0.0079776;-0.0626516;-0.143789
1.1;0.0101714;-0.0626516;-0.119824
1.12;0.00817704;-0.0626516;-0.127813
1.14;0.0101714;-0.0626516;-0.151778
1.16;0.0079776;-0.0626516;-0.135801
1.18;0.0101714;-0.0626516;-0.159766
1.2;0.009972;-0.0626516;-0.143789
1.22;0.0079776;-0.0626516;-0.167754
1.24;0.0079776;-0.0626516;-0.151778
1.26;0.009972;-0.0626516;-0.175743
1.28;0.0079776;-0.0626516;-0.159766
1.3;0.0101714;-0.0626516;-0.183731
1.32;0.009972;-0.0626516;-0.167754
1.34;0.0079776;-0.0626516;-0.191719
1.36;0.0079776;-0.0626516;-0.175743
1.38;0.009972;-0.0626516;-0.199708
1.4;0.00817704;-0.0626516;-0.183731
1.42;0.0101714;-0.0626516;-0.207696
1.44;0.0079776;-0.0626516;-0.207696
1.46;0.0101714;-0.0626516;-0.183731
1.48;0.009972;-0.0626516;-0.199708
1.5;0.00817704;-0.0626516;-0.175743
1.52;0.00817704;-0.0626516;-0.191719
1.54;0.0101714;-0.0626516;-0.167754
1.56;0.0079776;-0.0626516;-0.183731
1.58;0.0101714;-0.0626516;-0.159766
1.6;0.0101714;-0.0626516;-0.175743
1.62;0.0079776;-0.0626516;-0.151778
1.64;0.00817704;-0.0626516;-0.167754
1.66;0.0103709;-0.0626516;-0.143789
1.68;0.0079776;-0.0626516;-0.159766
1.7;0.0101714;-0.0626516;-0.135801
1.72;0.0079776;-0.0626516;-0.151778
1.74;0.0101714;-0.0626516;-0.127813
1.76;0.0101714;-0.0626516;-0.143789
1.78;0.00817704;-0.0626516;-0.119824
1.8;0.009972;-0.0626516;-0.143789
1.82;0.00757872;-0.0591984;-0.111836
1.84;0.0079776;-0.0606784;-0.127813
1.86;0.0101714;-0.0557452;-0.103848
1.88;0.009972;-0.0567318;-0.119824
1.9;0.00777816;-0.0513053;-0.0958596
1.92;0.0101714;-0.0527852;-0.111836
1.94;0.0079776;-0.047852;-0.0878713
1.96;0.00777816;-0.0488387;-0.103848
1.98;0.009972;-0.0434122;-0.079883
2;0.009972;-0.0448921;-0.0958596
2.02;0.0079776;-0.0394656;-0.079883
2.04;0.00777816;-0.0409456;-0.0878713
2.06;0.009972;-0.0360124;-0.0639064
2.08;0.0101714;-0.036999;-0.079883
2.1;0.0079776;-0.0315725;-0.0559181
2.12;0.00817704;-0.0330524;-0.0718947
2.14;0.0101714;-0.0276259;-0.0559181
2.16;0.00817704;-0.0286126;-0.0639064
2.18;0.0101714;-0.0236794;-0.0399415
2.2;0.009972;-0.0251593;-0.0639064
2.22;0.00817704;-0.0202261;-0.0319532
2.24;0.00817704;-0.0212128;-0.0479298
2.26;0.0103709;-0.0162796;-0.0239649
2.28;0.00817704;-0.0172662;-0.0399415
2.3;0.0101714;-0.012333;-0.0159766
2.32;0.009972;-0.0133196;-0.0319532
2.34;0.0079776;-0.00838644;-0.0079883
2.36;0.00817704;-0.00937308;-0.0319532
2.38;0.009972;-0.00394656;0
2.4;0.0103709;-0.00542652;-0.0159766
2.42;0.0079776;-0.00049332;0
