t,vds,corrente
2.88,-0.0318413,-0.0162796
2.9,-0.0179107,-0.00937308
2.92,-0.0208958,-0.0103597
2.94,-0.0049752,-0.00345324
2.96,-0.00796032,-0.0049332
2.98,0.00597024,0.0024666
3,0.00199008,0.00098664
3.02,0.0179107,0.00838644
3.04,0.0149256,0.00690648
3.06,0.0308462,0.0143063
3.08,0.0268661,0.0133196
3.1,0.0407966,0.0197328
3.12,0.0388066,0.0187462
3.14,0.0527371,0.026146
3.16,0.049752,0.024666
3.18,0.0646776,0.0320658
3.2,0.0616925,0.0305858
3.22,0.0766181,0.0374923
3.24,0.073633,0.0365057
3.26,0.0885586,0.0434122
3.28,0.0855734,0.0424255
3.3,0.098509,0.0488387
3.32,0.0975139,0.0483454
3.34,0.0825883,0.0414389
3.36,0.0865685,0.0429188
3.38,0.0696528,0.035519
3.4,0.0776131,0.036999
3.42,0.0597024,0.0295992
3.44,0.0626875,0.0310792
3.46,0.0477619,0.0236794
3.48,0.050747,0.024666
3.5,0.0368165,0.0177595
3.52,0.0388066,0.0192395
3.54,0.024876,0.0118397
3.56,0.0278611,0.0133196
3.58,0.0129355,0.00591984
3.6,0.0159206,0.0073998
3.62,0.00099504,0
3.64,0.00398016,0.00147996
3.66,-0.0099504,-0.00591984
3.68,-0.00696528,-0.00443988
3.7,-0.0218909,-0.0113464
3.72,-0.0199008,-0.0098664
3.74,-0.0348264,-0.0177595
3.76,-0.0318413,-0.0162796
3.78,-0.0457718,-0.023186
3.8,-0.0517421,-0.0256526
3.82,-0.0407966,-0.0212128
3.84,-0.0437818,-0.0221994
3.86,-0.0288562,-0.0152929
3.88,-0.0318413,-0.0167729
3.9,-0.0169157,-0.00937308
3.92,-0.0199008,-0.0103597
3.94,-0.0049752,-0.00345324
3.96,-0.00796032,-0.0049332
3.98,0.00597024,0.00197328
4,0.00199008,0.00098664
4.02,0.0189058,0.00838644
4.04,0.0149256,0.0073998
4.06,0.0308462,0.0143063
4.08,0.0268661,0.0128263
4.1,0.0407966,0.0202261
4.12,0.0368165,0.0187462
4.14,0.0527371,0.026146
4.16,0.049752,0.024666
4.18,0.0646776,0.0320658
4.2,0.0616925,0.0305858
4.22,0.0766181,0.0374923
4.24,0.073633,0.0365057
4.26,0.0875635,0.0439055
4.28,0.0845784,0.0424255
4.3,0.099504,0.049332
4.32,0.0975139,0.0483454
4.34,0.0835834,0.0414389
4.36,0.0865685,0.0424255
4.38,0.0706478,0.035519
4.4,0.074628,0.0365057
4.42,0.0597024,0.0295992
4.44,0.0626875,0.0310792
4.46,0.0477619,0.0236794
4.48,0.0517421,0.024666
4.5,0.0368165,0.0177595
4.52,0.0388066,0.0192395
4.54,0.023881,0.0118397
4.56,0.0278611,0.0133196
4.58,0.0129355,0.00641316
4.6,0.0159206,0.0073998
4.62,0.00099504,0
4.64,0.00398016,0.00098664
4.66,-0.0109454,-0.00542652
4.68,-0.00696528,-0.00443988
4.7,-0.0228859,-0.0118397
4.72,-0.0189058,-0.0098664
4.74,-0.0348264,-0.0172662
4.76,-0.0308462,-0.0162796
4.78,-0.0447768,-0.023186
4.8,-0.050747,-0.0256526
4.82,-0.0407966,-0.0212128
4.84,-0.0437818,-0.0226927
4.86,-0.0298512,-0.0152929
4.88,-0.0328363,-0.0167729
4.9,-0.0179107,-0.00937308
4.92,-0.0208958,-0.010853
4.94,-0.00597024,-0.00394656
4.96,-0.00895536,-0.0049332
4.98,0.00597024,0.0024666
5,0.00298512,0.00098664
5.02,0.0179107,0.00838644
5.04,0.0149256,0.00690648
5.06,0.0298512,0.0143063
5.08,0.0268661,0.0128263
5.1,0.0427867,0.0202261
5.12,0.0378115,0.0187462
5.14,0.0537322,0.026146
5.16,0.050747,0.024666
5.18,0.0646776,0.0315725
5.2,0.0606974,0.0305858
5.22,0.0766181,0.0374923
5.24,0.073633,0.0365057
5.26,0.0885586,0.0434122
5.28,0.0855734,0.0424255
5.3,0.098509,0.049332
5.32,0.0975139,0.0483454
5.34,0.0835834,0.0414389
5.36,0.0855734,0.0424255
5.38,0.0716429,0.035519
5.4,0.075623,0.036999
5.42,0.0597024,0.0295992
5.44,0.0626875,0.0305858
5.46,0.0477619,0.0236794
5.48,0.050747,0.0251593
5.5,0.0348264,0.0177595
5.52,0.0398016,0.0187462
5.54,0.024876,0.0118397
5.56,0.0278611,0.0128263
5.58,0.0129355,0.00641316
5.6,0.0159206,0.0073998
5.62,0.00099504,0
5.64,0.00398016,0.00147996
5.66,-0.0109454,-0.00591984
5.68,-0.00696528,-0.00443988
5.7,-0.0228859,-0.0113464
5.72,-0.0199008,-0.0103597
5.74,-0.0338314,-0.0172662
5.76,-0.0308462,-0.0162796
5.78,-0.0457718,-0.0236794
5.8,-0.050747,-0.0256526
5.82,-0.0398016,-0.0212128
5.84,-0.0437818,-0.0221994
5.86,-0.0288562,-0.0152929
5.88,-0.0328363,-0.0162796
5.9,-0.0169157,-0.00937308
5.92,-0.0218909,-0.0103597
5.94,-0.00597024,-0.00345324
5.96,-0.00895536,-0.0049332
5.98,0.00597024,0.0024666
6,0.00298512,0.00098664
6.02,0.0189058,0.00838644
6.04,0.0149256,0.00690648
6.06,0.0328363,0.0143063
6.08,0.0268661,0.0128263
6.1,0.0417917,0.0202261
6.12,0.0378115,0.0187462
6.14,0.0537322,0.026146
6.16,0.049752,0.024666
6.18,0.0656726,0.0320658
6.2,0.0616925,0.0305858
6.22,0.0776131,0.0374923
6.24,0.073633,0.0365057
6.26,0.0875635,0.0434122
6.28,0.0845784,0.0424255
6.3,0.099504,0.0488387
6.32,0.098509,0.0488387
