Sub_Vg;Sub_Res;Des_Vg;Des_Res
-0.19088704;2484.254398760094;-0.19044851999999998;2460.2702521639253
-0.17937256;2526.889443677223;-0.17910240000000002;2476.5768674269048
-0.16774108;2552.552126640843;-0.16711176000000003;2487.3650431696606
-0.15552752;2612.018376280148;-0.15495128000000002;2504.5698401343698
-0.14348564;2644.369883006965;-0.1430944;2520.5297750448694
-0.13056024;2681.325587386501;-0.13000376;2541.8149319729496
-0.11704976;2728.5659839659493;-0.11666947999999999;2560.8739439963556
-0.105634596;2768.050074549333;-0.10535926;2576.8658124427866
-0.092923296;2821.1306110217865;-0.09273664;2599.2507123192495
-0.082571116;2860.43662402127;-0.08214342399999999;2624.03304848329
-0.068589952;2908.7716401673056;-0.06856688;2641.931175179798
-0.056981288;2946.0104602642195;-0.056680928;2663.8292147555953
-0.043318871999999994;3004.462083980439;-0.043032788;2690.0813525002977
-0.031065472;3045.1432514481426;-0.0307389;2710.628272251133
-0.018656276;3101.957301995923;-0.018354104000000003;2733.945750457535
-0.00545832624;3141.314874672511;-0.00523166852;2755.6298643006885
0.005544765392;3202.8126491754097;0.005729155552000002;2771.682496645287
0.018466792;3246.7790711504063;0.018910464000000002;2814.5016027621227
0.030881039999999995;3306.563742748017;0.031288292;2838.685243091371
0.043624428;3363.8648912798612;0.044103864;2866.1743469863723
0.055357508;3420.7467462867626;0.055633504;2888.6327281036665
0.06785873199999999;3483.1283130300662;0.068178904;2917.164928731474
0.079263568;3539.7392963013826;0.079681664;2939.489582641985
0.09137851599999999;3603.189037679344;0.09204416;2974.916218493766
0.103735456;3670.857885021062;0.1041549;2990.617487709113
0.11495872;3738.877278743743;0.11543443999999999;3034.383772234828
0.12850996;3810.722576326481;0.129021;3037.16482846569
0.14067564000000002;3887.830257249818;0.1413184;3088.3266363177127
0.15320852000000001;3982.414613640504;0.15345883999999999;3099.515795103056
0.16485228;4065.07286897322;0.16515064000000002;3140.3198298193533
0.17611491999999998;4178.667147450865;0.17667771999999998;3162.316691799113
0.18898468;4256.533036266575;0.18931960000000003;3193.907601851266
0.20137556000000004;4362.96881772249;0.20156388;3218.936395931046
0.21453060000000002;4466.586877016308;0.21476688;3267.0070067092547
0.22658428;4568.5739797126635;0.22702811999999997;3287.834319788871
0.23894936;4674.702672568204;0.23961004000000002;3343.247592144499
0.251383;4793.679652755208;0.25176596;3362.504369585244
0.2623752;4902.006817358963;0.26279083999999997;3415.824460038475
0.27514868;5038.098699488712;0.27524912;3454.290196414372
0.28675748;5163.447975299917;0.28752716;3515.411128381423
0.29947416;5293.790267992523;0.30012044;3549.8490642008073
0.3116188;5410.424169758908;0.31225136;3611.558913013225
0.32430888;5544.643748067049;0.32464664;3656.195216652567
0.33593476;5656.09588778455;0.3364001200000001;3729.4231975741322
0.34841588;5781.289726660817;0.34898796000000004;3779.489800513868
0.36108840000000003;5902.474082185316;0.3615034;3863.509772051546
0.37211208;6030.383862031437;0.37254028000000006;3919.125608480754
0.38610216;6152.336512778374;0.38690991999999996;4035.313141506116
0.39808012;6282.151494653147;0.39876128;4098.697093309562
0.41073644000000004;6366.054927210154;0.41098832;4226.732902587743
0.42216692;6495.892755508161;0.42278751999999997;4287.731222454569
0.4344716;6572.999233195262;0.4349861199999999;4421.500580265244
0.44657287999999995;6674.869840878976;0.44725016000000006;4496.439595403067
0.45909911999999997;6759.7672884888525;0.45974171999999996;4646.918199510759
0.4728243200000001;6843.363736309613;0.47335492;4738.376467280722
0.48488976;6901.724762160198;0.48537800000000003;4878.931966911098
0.49855580000000005;6989.189028888771;0.4989135599999999;4996.0555815379785
0.5099754400000001;7047.708726342735;0.51075568;5141.98693181394
0.52251232;7126.893097567776;0.5227822;5305.092684741057
0.5358611600000001;7173.2959714877825;0.5364034400000001;5472.229604762318
0.54837964;7226.038441545523;0.54879368;5625.75650398361
0.5616473200000001;7261.946059723091;0.56213516;5823.193592912725
0.57424488;7280.502840581763;0.5741046;5993.893099074215
0.5866412799999999;7297.390268477628;0.58633824;6138.738402884221
0.5982012;7275.631755291833;0.60066936;6357.849823974514
0.6112192799999999;7237.761605480745;0.61553428;6567.553047134401
0.62255052;7198.601269128908;0.62634812;6744.453985505713
0.63495064;7127.039950836051;0.63977216;6912.397678443639
0.64830924;7030.389760108003;0.652124;7050.819740133775
0.6600640799999999;6922.366267479552;0.66466668;7178.594987358603
0.6728217599999999;6769.927018009617;0.67660336;7272.545389407992
0.68372912;6651.125894776898;0.68842036;7292.81184290428
0.69692504;6439.369124671584;0.7008735999999999;7253.97758929849
0.70826756;6288.087461043998;0.71313204;7104.662120565449
0.7219607600000001;6055.986642668655;0.7262432799999999;6889.848849067606
0.73409868;5887.960075823914;0.73839392;6574.054571828912
0.7463102;5670.038685597443;0.7508426;6226.004909832096
0.7584896400000001;5496.626548445348;0.76254104;5809.553624963119
0.76983248;5269.981295066895;0.7735588;5429.699595901256
0.78174112;5110.36518278635;0.7850391428571428;5101.325678801302
