Sub_Vg;Sub_Res;Des_Vg;Des_Res
-0.37812759999999995;-9791.424121329572;-0.37847276;-9804.401172113721
-0.36371028000000005;-9419.519558733658;-0.36382756;-9431.802725530037
-0.35055292;-9040.458816708366;-0.3507489600000001;-9054.99323575361
-0.33763596;-8642.861068935843;-0.33776271999999996;-8652.63071541662
-0.32446584;-8266.38321432862;-0.32460604;-8275.047288360858
-0.31096788;-7888.1205960856405;-0.31109640000000005;-7904.442436366866
-0.29468704;-7507.629533269635;-0.2951248;-7520.013786982183
-0.27934708;-7134.4777111437;-0.27956964;-7147.618689225005
-0.26482748;-6753.423881616022;-0.26524408;-6763.794535170954
-0.2518476;-6373.3610517683555;-0.2521122;-6385.697307792431
-0.23873508000000002;-5997.296407920649;-0.23899379999999998;-6009.003498666885
-0.22435784000000003;-5613.137702469065;-0.22455391999999996;-5624.125942618441
-0.2098238;-5236.846993194011;-0.21010563999999998;-5246.482353002627
-0.19368411999999996;-4869.2445507680895;-0.19396276;-4879.941707713281
-0.17927568000000002;-4494.337300305544;-0.17927568000000002;-4504.943196278815
-0.16449184;-4118.3448333498745;-0.16457352;-4130.987935602842
-0.15113692;-3755.428650714545;-0.15143975999999998;-3767.7209031582684
-0.13809712;-3395.6879762289145;-0.13842147999999999;-3409.0098562850935
-0.12260528000000001;-3025.8054135925345;-0.12314984;-3037.299541914557
-0.1076352;-2646.0864251053804;-0.10792864000000002;-2658.265334371033
-0.093213904;-2256.3327047934436;-0.09358897199999999;-2267.5536565873936
-0.07887235599999999;-1870.5104753746427;-0.0792653;-1881.7727958882
-0.065384468;-1493.7592300976012;-0.065607616;-1505.9678556691338
-0.050254652000000004;-1098.8139922381417;-0.050672528;-1110.598227204112
-0.035142764;-711.4647412869319;-0.035340264;-723.2240440012745
-0.020381652;-338.9575621562019;-0.020789988;-350.05991288381534
-0.006260269856000001;38.446576338714294;-0.00653313076;25.48129057869198
0.005816103055999999;393.7799622876066;0.00570044732;384.9877304138439
0.019798168;787.1149574494597;0.019804576;775.4485681908607
0.03458102;1178.0650620589645;0.034395044;1166.5206808186674
0.048670384000000004;1551.6016900767252;0.048320256;1539.7481313561314
0.064263;1936.319333086096;0.064119736;1924.0409717470452
0.078687588;2323.5613220666273;0.07852024399999999;2311.3488241950204
0.093576228;2702.357076819414;0.093575604;2689.988038589912
0.10714119999999999;3070.72756983329;0.10699612;3059.534547627606
0.12019284;3446.8584868545427;0.12002995999999999;3435.726290767704
0.13550447999999998;3806.2264457007113;0.13533035999999998;3795.075525177684
0.14975268000000003;4165.227459077587;0.14939536;4153.986046938781
0.1635434;4553.88244388845;0.16345903999999997;4541.379590287824
0.17753936;4923.223516169391;0.17732324000000002;4914.624331956529
0.19094779999999997;5292.058682861768;0.19059308000000003;5282.736733293822
0.20589375999999998;5671.306322808769;0.20565467999999995;5661.35106477443
0.22113503999999998;6049.379510706382;0.22106228000000003;6041.050612164926
0.23597088;6435.175891728539;0.23596144;6426.784359212432
0.25045704;6826.630943847775;0.25039772;6818.818554010873
0.26278244;7199.540202870312;0.26261880000000004;7190.447854053803
0.276406;7589.040902720032;0.27615392000000005;7579.085951515574
0.29046472;7970.236644534522;0.2903012;7960.062232829322
0.30450908000000004;8342.409299859126;0.3045762;8334.647759269119
0.32022428000000003;8721.407009447774;0.32002068;8710.350797456456
0.3340146;9098.910264144215;0.33368568000000004;9090.054433921157
0.34881208;9471.237493250997;0.3480550399999999;9469.249154774072
0.36267736;9832.036066545123;0.36392899999999995;9866.756024604125
0.37683904000000007;10206.938629405671;0.38190056;10313.197494127458
0.39306455999999995;10583.425553709967;0.39757367999999993;10697.174634566814
0.40758832;10975.187980368366;0.41183228000000005;11091.604814127346
0.42127632;11361.837597334126;0.42545587999999995;11473.181256589474
0.43458943999999994;11734.160274271211;0.43841031999999996;11842.365713284078
0.44749812;12110.403157087236;0.4515172800000001;12225.976554122564
0.46207992000000003;12492.45949102198;0.4670097200000001;12600.230536895751
0.47744284;12855.33929964339;0.48232972;12960.916047637369
0.49227228000000006;13205.700893735142;0.4967174000000001;13278.052891897421
0.50627836;13343.618800258495;0.51004248;13342.548881847055
0.5190003599999999;13343.574276808464;0.5232324399999999;13340.588374359706
0.5338670799999999;13342.639305188804;0.53873984;13341.948058838225
0.54902132;13340.639794454826;0.55373112;13342.639432541471
0.56465068;13342.19329969101;0.56956344;13342.749933790608
0.5797624;13341.748618557383;0.58374396;13342.393389617866
0.5935194800000001;13341.947880213354;0.5979894399999999;13343.484624575643
0.60786268;13343.28441574995;0.6116530800000001;13341.857705558556
0.6207092;13342.34983617349;0.62508536;13342.949649494647
0.6354565999999999;13343.03935365709;0.6402048;13342.282319895397
0.65043768;13342.215280153481;0.65472408;13341.07977595319
0.66412384;13342.505570144725;0.66814024;13338.7497475327
0.67717196;13344.264968827742;0.6814305999999999;13338.96982472963
0.6904383999999999;13342.326873857877;0.6946711999999999;13336.265140096306
0.7037474399999999;13338.404954621203;0.7081313999999999;13340.367662272485
0.71932068;13342.682491505508;0.7242771199999999;13341.770623558614
0.7353438400000001;13340.077847139702;0.73989544;13342.349206204726
0.7502223199999999;13339.611304972961;0.7531410000000001;13341.493472583876
